"","DateTime","site","flow"
"133",2019-10-12 12:00:00,"FW",118.92
"134",2019-10-12 13:00:00,"FW",118.92
"135",2019-10-12 14:00:00,"FW",118.92
"136",2019-10-12 15:00:00,"FW",118.92
"137",2019-10-12 16:00:00,"FW",118.92
"138",2019-10-12 17:00:00,"FW",118.92
"139",2019-10-12 18:00:00,"FW",118.92
"140",2019-10-12 19:00:00,"FW",118.92
"141",2019-10-12 20:00:00,"FW",118.92
"142",2019-10-12 21:00:00,"FW",118.92
"143",2019-10-12 22:00:00,"FW",118.92
"144",2019-10-12 23:00:00,"FW",118.92
"145",2019-10-13 00:00:00,"FW",101.19
"146",2019-10-13 01:00:00,"FW",101.19
"147",2019-10-13 02:00:00,"FW",101.19
"148",2019-10-13 03:00:00,"FW",101.19
"149",2019-10-13 04:00:00,"FW",101.19
"150",2019-10-13 05:00:00,"FW",101.19
"151",2019-10-13 06:00:00,"FW",101.19
"152",2019-10-13 07:00:00,"FW",101.19
"153",2019-10-13 08:00:00,"FW",101.19
"154",2019-10-13 09:00:00,"FW",101.19
"155",2019-10-13 10:00:00,"FW",101.19
"156",2019-10-13 11:00:00,"FW",101.19
"157",2019-10-13 12:00:00,"FW",101.19
"158",2019-10-13 13:00:00,"FW",101.19
"159",2019-10-13 14:00:00,"FW",101.19
"160",2019-10-13 15:00:00,"FW",101.19
"161",2019-10-13 16:00:00,"FW",101.19
"162",2019-10-13 17:00:00,"FW",101.19
"163",2019-10-13 18:00:00,"FW",101.19
"164",2019-10-13 19:00:00,"FW",101.19
"165",2019-10-13 20:00:00,"FW",101.19
"166",2019-10-13 21:00:00,"FW",101.19
"167",2019-10-13 22:00:00,"FW",101.19
"168",2019-10-13 23:00:00,"FW",101.19
"169",2019-10-14 00:00:00,"FW",101.29
"170",2019-10-14 01:00:00,"FW",101.29
"171",2019-10-14 02:00:00,"FW",101.29
"172",2019-10-14 03:00:00,"FW",101.29
"173",2019-10-14 04:00:00,"FW",101.29
"174",2019-10-14 05:00:00,"FW",101.29
"175",2019-10-14 06:00:00,"FW",101.29
"176",2019-10-14 07:00:00,"FW",101.29
"177",2019-10-14 08:00:00,"FW",101.29
"178",2019-10-14 09:00:00,"FW",101.29
"179",2019-10-14 10:00:00,"FW",101.29
"180",2019-10-14 11:00:00,"FW",101.29
"181",2019-10-14 12:00:00,"FW",101.29
"182",2019-10-14 13:00:00,"FW",101.29
"183",2019-10-14 14:00:00,"FW",101.29
"184",2019-10-14 15:00:00,"FW",101.29
"185",2019-10-14 16:00:00,"FW",101.29
"186",2019-10-14 17:00:00,"FW",101.29
"187",2019-10-14 18:00:00,"FW",101.29
"188",2019-10-14 19:00:00,"FW",101.29
"189",2019-10-14 20:00:00,"FW",101.29
"190",2019-10-14 21:00:00,"FW",101.29
"191",2019-10-14 22:00:00,"FW",101.29
"192",2019-10-14 23:00:00,"FW",101.29
"193",2019-10-15 00:00:00,"FW",118.98
"194",2019-10-15 01:00:00,"FW",118.98
"195",2019-10-15 02:00:00,"FW",118.98
"196",2019-10-15 03:00:00,"FW",118.98
"197",2019-10-15 04:00:00,"FW",118.98
"198",2019-10-15 05:00:00,"FW",118.98
"199",2019-10-15 06:00:00,"FW",118.98
"200",2019-10-15 07:00:00,"FW",118.98
"201",2019-10-15 08:00:00,"FW",118.98
"202",2019-10-15 09:00:00,"FW",118.98
"203",2019-10-15 10:00:00,"FW",118.98
"204",2019-10-15 11:00:00,"FW",118.98
"205",2019-10-15 12:00:00,"FW",118.98
"206",2019-10-15 13:00:00,"FW",118.98
"207",2019-10-15 14:00:00,"FW",118.98
"208",2019-10-15 15:00:00,"FW",118.98
"209",2019-10-15 16:00:00,"FW",118.98
