"","date","site","flow"
"1","2019-01-01 00:00:00","lfalls",43400
"2","2019-01-02 00:00:00","lfalls",44100
"3","2019-01-03 00:00:00","lfalls",38800
"4","2019-01-04 00:00:00","lfalls",32900
"5","2019-01-05 00:00:00","lfalls",29300
"6","2019-01-06 00:00:00","lfalls",28100
"7","2019-01-07 00:00:00","lfalls",27900
"8","2019-01-08 00:00:00","lfalls",27000
"9","2019-01-09 00:00:00","lfalls",24500
"10","2019-01-10 00:00:00","lfalls",22900
"11","2019-01-11 00:00:00","lfalls",21300
"12","2019-01-12 00:00:00","lfalls",19400
"13","2019-01-13 00:00:00","lfalls",19100
"14","2019-01-14 00:00:00","lfalls",18600
"15","2019-01-15 00:00:00","lfalls",17600
"16","2019-01-16 00:00:00","lfalls",16700
"17","2019-01-17 00:00:00","lfalls",15500
"18","2019-01-18 00:00:00","lfalls",14600
"19","2019-01-19 00:00:00","lfalls",14600
"20","2019-01-20 00:00:00","lfalls",27700
"21","2019-01-21 00:00:00","lfalls",42100
"22","2019-01-22 00:00:00","lfalls",51300
"23","2019-01-23 00:00:00","lfalls",37100
"24","2019-01-24 00:00:00","lfalls",35600
"25","2019-01-25 00:00:00","lfalls",50900
"26","2019-01-26 00:00:00","lfalls",57900
"27","2019-01-27 00:00:00","lfalls",48200
"28","2019-01-28 00:00:00","lfalls",38400
"29","2019-01-29 00:00:00","lfalls",32100
"30","2019-01-30 00:00:00","lfalls",27300
"31","2019-01-31 00:00:00","lfalls",23600
"32","2019-02-01 00:00:00","lfalls",19900
"33","2019-02-02 00:00:00","lfalls",17000
"34","2019-02-03 00:00:00","lfalls",15600
"35","2019-02-04 00:00:00","lfalls",16000
"36","2019-02-05 00:00:00","lfalls",17000
"37","2019-02-06 00:00:00","lfalls",17000
"38","2019-02-07 00:00:00","lfalls",17700
"39","2019-02-08 00:00:00","lfalls",21300
"40","2019-02-09 00:00:00","lfalls",27400
"41","2019-02-10 00:00:00","lfalls",29500
"42","2019-02-11 00:00:00","lfalls",24800
"43","2019-02-12 00:00:00","lfalls",26400
"44","2019-02-13 00:00:00","lfalls",34000
"45","2019-02-14 00:00:00","lfalls",43700
"46","2019-02-15 00:00:00","lfalls",41400
"47","2019-02-16 00:00:00","lfalls",35300
"48","2019-02-17 00:00:00","lfalls",33000
"49","2019-02-18 00:00:00","lfalls",30100
"50","2019-02-19 00:00:00","lfalls",26400
"51","2019-02-20 00:00:00","lfalls",23600
"52","2019-02-21 00:00:00","lfalls",23100
"53","2019-02-22 00:00:00","lfalls",25400
"54","2019-02-23 00:00:00","lfalls",33100
"55","2019-02-24 00:00:00","lfalls",52500
"56","2019-02-25 00:00:00","lfalls",62600
"57","2019-02-26 00:00:00","lfalls",72800
"58","2019-02-27 00:00:00","lfalls",55100
"59","2019-02-28 00:00:00","lfalls",41500
"60","2019-03-01 00:00:00","lfalls",33200
"61","2019-03-02 00:00:00","lfalls",32600
"62","2019-03-03 00:00:00","lfalls",31300
"63","2019-03-04 00:00:00","lfalls",35300
"64","2019-03-05 00:00:00","lfalls",34400
"65","2019-03-06 00:00:00","lfalls",34200
"66","2019-03-07 00:00:00","lfalls",28800
"67","2019-03-08 00:00:00","lfalls",25300
"68","2019-03-09 00:00:00","lfalls",23200
"69","2019-03-10 00:00:00","lfalls",23800
"70","2019-03-11 00:00:00","lfalls",33800
"71","2019-03-12 00:00:00","lfalls",41300
"72","2019-03-13 00:00:00","lfalls",38100
"73","2019-03-14 00:00:00","lfalls",33200
"74","2019-03-15 00:00:00","lfalls",29100
"75","2019-03-16 00:00:00","lfalls",26600
"76","2019-03-17 00:00:00","lfalls",25300
"77","2019-03-18 00:00:00","lfalls",23100
"78","2019-03-19 00:00:00","lfalls",20500
"79","2019-03-20 00:00:00","lfalls",18500
"80","2019-03-21 00:00:00","lfalls",24800
"81","2019-03-22 00:00:00","lfalls",63400
"82","2019-03-23 00:00:00","lfalls",64700
"83","2019-03-24 00:00:00","lfalls",43900
"84","2019-03-25 00:00:00","lfalls",33000
"85","2019-03-26 00:00:00","lfalls",28100
"86","2019-03-27 00:00:00","lfalls",25400
"87","2019-03-28 00:00:00","lfalls",22900
"88","2019-03-29 00:00:00","lfalls",20800
"89","2019-03-30 00:00:00","lfalls",19300
"90","2019-03-31 00:00:00","lfalls",18400
"91","2019-04-01 00:00:00","lfalls",17100
"92","2019-04-02 00:00:00","lfalls",15600
"93","2019-04-03 00:00:00","lfalls",14800
"94","2019-04-04 00:00:00","lfalls",13800
"95","2019-04-05 00:00:00","lfalls",13200
"96","2019-04-06 00:00:00","lfalls",13200
"97","2019-04-07 00:00:00","lfalls",13300
"98","2019-04-08 00:00:00","lfalls",14200
"99","2019-04-09 00:00:00","lfalls",13800
"100","2019-04-10 00:00:00","lfalls",13400
"101","2019-04-11 00:00:00","lfalls",12900
"102","2019-04-12 00:00:00","lfalls",12600
"103","2019-04-13 00:00:00","lfalls",14000
"104","2019-04-14 00:00:00","lfalls",16500
"105","2019-04-15 00:00:00","lfalls",25000
"106","2019-04-16 00:00:00","lfalls",34600
"107","2019-04-17 00:00:00","lfalls",36100
"108","2019-04-18 00:00:00","lfalls",29100
"109","2019-04-19 00:00:00","lfalls",24600
"110","2019-04-20 00:00:00","lfalls",31400
"111","2019-04-21 00:00:00","lfalls",48500
"112","2019-04-22 00:00:00","lfalls",48300
"113","2019-04-23 00:00:00","lfalls",36700
"114","2019-04-24 00:00:00","lfalls",29000
"115","2019-04-25 00:00:00","lfalls",24500
"116","2019-04-26 00:00:00","lfalls",22000
"117","2019-04-27 00:00:00","lfalls",20400
"118","2019-04-28 00:00:00","lfalls",19100
"119","2019-04-29 00:00:00","lfalls",18800
"120","2019-04-30 00:00:00","lfalls",18600
"121","2019-05-01 00:00:00","lfalls",17100
"122","2019-05-02 00:00:00","lfalls",16300
"123","2019-05-03 00:00:00","lfalls",15300
"124","2019-05-04 00:00:00","lfalls",16300
"125","2019-05-05 00:00:00","lfalls",29900
"126","2019-05-06 00:00:00","lfalls",64000
"127","2019-05-07 00:00:00","lfalls",67400
"128","2019-05-08 00:00:00","lfalls",44700
"129","2019-05-09 00:00:00","lfalls",33200
"130","2019-05-10 00:00:00","lfalls",27000
"131","2019-05-11 00:00:00","lfalls",28700
"132","2019-05-12 00:00:00","lfalls",24900
"133","2019-05-13 00:00:00","lfalls",33800
"134","2019-05-14 00:00:00","lfalls",49800
"135","2019-05-15 00:00:00","lfalls",49500
"136","2019-05-16 00:00:00","lfalls",42700
"137","2019-05-17 00:00:00","lfalls",34400
"138","2019-05-18 00:00:00","lfalls",28100
"139","2019-05-19 00:00:00","lfalls",23300
"140","2019-05-20 00:00:00","lfalls",20200
"141","2019-05-21 00:00:00","lfalls",20900
"142","2019-05-22 00:00:00","lfalls",17700
"143","2019-05-23 00:00:00","lfalls",16000
"144","2019-05-24 00:00:00","lfalls",14900
"145","2019-05-25 00:00:00","lfalls",12900
"146","2019-05-26 00:00:00","lfalls",11800
"147","2019-05-27 00:00:00","lfalls",11800
"148","2019-05-28 00:00:00","lfalls",12800
"149","2019-05-29 00:00:00","lfalls",11600
"150","2019-05-30 00:00:00","lfalls",10900
"151","2019-05-31 00:00:00","lfalls",11100
"152","2019-06-01 00:00:00","lfalls",10600
"153","2019-06-02 00:00:00","lfalls",9920
"154","2019-06-03 00:00:00","lfalls",9880
"155","2019-06-04 00:00:00","lfalls",10200
"156","2019-06-05 00:00:00","lfalls",9360
"157","2019-06-06 00:00:00","lfalls",8510
"158","2019-06-07 00:00:00","lfalls",7790
"159","2019-06-08 00:00:00","lfalls",7230
"160","2019-06-09 00:00:00","lfalls",7120
"161","2019-06-10 00:00:00","lfalls",7120
"162","2019-06-11 00:00:00","lfalls",6990
