"","date","site","flow"
"133","2019-11-14 12:00:00","lfalls",3060
"134","2019-11-14 13:00:00","lfalls",3010
"135","2019-11-14 14:00:00","lfalls",3060
"136","2019-11-14 15:00:00","lfalls",NA
"137","2019-11-09 00:00:00","seneca",89.3
"138","2019-11-09 01:00:00","seneca",87.3
"139","2019-11-09 02:00:00","seneca",87.3
"140","2019-11-09 03:00:00","seneca",85.4
"141","2019-11-09 04:00:00","seneca",85.4
"142","2019-11-09 05:00:00","seneca",81.1
"143","2019-11-09 06:00:00","seneca",78.9
"144","2019-11-09 07:00:00","seneca",76.8
"145","2019-11-09 08:00:00","seneca",72.8
"146","2019-11-09 09:00:00","seneca",70.8
"147","2019-11-09 10:00:00","seneca",70.8
"148","2019-11-09 11:00:00","seneca",70.8
"149","2019-11-09 12:00:00","seneca",70.8
"150","2019-11-09 13:00:00","seneca",74.8
"151","2019-11-09 14:00:00","seneca",83.2
"152","2019-11-09 15:00:00","seneca",87.3
"153","2019-11-09 16:00:00","seneca",89.3
"154","2019-11-09 17:00:00","seneca",89.3
"155","2019-11-09 18:00:00","seneca",87.3
"156","2019-11-09 19:00:00","seneca",85.4
"157","2019-11-09 20:00:00","seneca",87.3
"158","2019-11-09 21:00:00","seneca",83.2
"159","2019-11-09 22:00:00","seneca",83.2
"160","2019-11-09 23:00:00","seneca",83.2
"161","2019-11-10 00:00:00","seneca",85.4
"162","2019-11-10 01:00:00","seneca",81.1
"163","2019-11-10 02:00:00","seneca",83.2
"164","2019-11-10 03:00:00","seneca",83.2
"165","2019-11-10 04:00:00","seneca",81.1
"166","2019-11-10 05:00:00","seneca",78.9
"167","2019-11-10 06:00:00","seneca",74.8
"168","2019-11-10 07:00:00","seneca",72.8
"169","2019-11-10 08:00:00","seneca",70.8
"170","2019-11-10 09:00:00","seneca",68.8
"171","2019-11-10 10:00:00","seneca",66.8
"172","2019-11-10 11:00:00","seneca",66.8
"173","2019-11-10 12:00:00","seneca",66.8
"174","2019-11-10 13:00:00","seneca",72.8
"175","2019-11-10 14:00:00","seneca",74.8
"176","2019-11-10 15:00:00","seneca",85.4
"177","2019-11-10 16:00:00","seneca",87.3
"178","2019-11-10 17:00:00","seneca",87.3
"179","2019-11-10 18:00:00","seneca",87.3
"180","2019-11-10 19:00:00","seneca",87.3
"181","2019-11-10 20:00:00","seneca",85.4
"182","2019-11-10 21:00:00","seneca",83.2
"183","2019-11-10 22:00:00","seneca",81.1
"184","2019-11-10 23:00:00","seneca",85.4
"185","2019-11-11 00:00:00","seneca",83.2
"186","2019-11-11 01:00:00","seneca",85.4
"187","2019-11-11 02:00:00","seneca",85.4
"188","2019-11-11 03:00:00","seneca",83.2
"189","2019-11-11 04:00:00","seneca",81.1
"190","2019-11-11 05:00:00","seneca",76.8
"191","2019-11-11 06:00:00","seneca",74.8
"192","2019-11-11 07:00:00","seneca",72.8
"193","2019-11-11 08:00:00","seneca",70.8
"194","2019-11-11 09:00:00","seneca",68.8
"195","2019-11-11 10:00:00","seneca",66.8
"196","2019-11-11 11:00:00","seneca",66.8
"197","2019-11-11 12:00:00","seneca",70.8
"198","2019-11-11 13:00:00","seneca",78.9
"199","2019-11-11 14:00:00","seneca",83.2
"200","2019-11-11 15:00:00","seneca",81.1
"201","2019-11-11 16:00:00","seneca",83.2
"202","2019-11-11 17:00:00","seneca",81.1
"203","2019-11-11 18:00:00","seneca",81.1
"204","2019-11-11 19:00:00","seneca",81.1
"205","2019-11-11 20:00:00","seneca",78.9
"206","2019-11-11 21:00:00","seneca",78.9
"207","2019-11-11 22:00:00","seneca",76.8
"208","2019-11-11 23:00:00","seneca",81.1
"209","2019-11-12 00:00:00","seneca",85.4
"210","2019-11-12 01:00:00","seneca",83.2
"211","2019-11-12 02:00:00","seneca",87.3
"212","2019-11-12 03:00:00","seneca",83.2
"213","2019-11-12 04:00:00","seneca",81.1
"214","2019-11-12 05:00:00","seneca",81.1
"215","2019-11-12 06:00:00","seneca",76.8
"216","2019-11-12 07:00:00","seneca",72.8
"217","2019-11-12 08:00:00","seneca",70.8
"218","2019-11-12 09:00:00","seneca",70.8
"219","2019-11-12 10:00:00","seneca",70.8
"220","2019-11-12 11:00:00","seneca",72.8
"221","2019-11-12 12:00:00","seneca",76.8
"222","2019-11-12 13:00:00","seneca",91.3
"223","2019-11-12 14:00:00","seneca",91.3
"224","2019-11-12 15:00:00","seneca",91.3
"225","2019-11-12 16:00:00","seneca",89.3
"226","2019-11-12 17:00:00","seneca",89.3
"227","2019-11-12 18:00:00","seneca",87.3
"228","2019-11-12 19:00:00","seneca",85.4
"229","2019-11-12 20:00:00","seneca",89.3
"230","2019-11-12 21:00:00","seneca",87.3
"231","2019-11-12 22:00:00","seneca",85.4
"232","2019-11-12 23:00:00","seneca",85.4
"233","2019-11-13 00:00:00","seneca",89.3
"234","2019-11-13 01:00:00","seneca",89.3
"235","2019-11-13 02:00:00","seneca",91.3
"236","2019-11-13 03:00:00","seneca",89.3
"237","2019-11-13 04:00:00","seneca",85.4
"238","2019-11-13 05:00:00","seneca",78.9
"239","2019-11-13 06:00:00","seneca",78.9
"240","2019-11-13 07:00:00","seneca",72.8
"241","2019-11-13 08:00:00","seneca",68.8
"242","2019-11-13 09:00:00","seneca",66.8
"243","2019-11-13 10:00:00","seneca",66.8
"244","2019-11-13 11:00:00","seneca",68.8
"245","2019-11-13 12:00:00","seneca",74.8
"246","2019-11-13 13:00:00","seneca",78.9
"247","2019-11-13 14:00:00","seneca",85.4
"248","2019-11-13 15:00:00","seneca",81.1
"249","2019-11-13 16:00:00","seneca",81.1
"250","2019-11-13 17:00:00","seneca",76.8
"251","2019-11-13 18:00:00","seneca",76.8
"252","2019-11-13 19:00:00","seneca",76.8
"253","2019-11-13 20:00:00","seneca",76.8
"254","2019-11-13 21:00:00","seneca",72.8
"255","2019-11-13 22:00:00","seneca",70.8
"256","2019-11-13 23:00:00","seneca",76.8
"257","2019-11-14 00:00:00","seneca",81.1
"258","2019-11-14 01:00:00","seneca",83.2
"259","2019-11-14 02:00:00","seneca",83.2
"260","2019-11-14 03:00:00","seneca",81.1
"261","2019-11-14 04:00:00","seneca",76.8
"262","2019-11-14 05:00:00","seneca",74.8
"263","2019-11-14 06:00:00","seneca",70.8
"264","2019-11-14 07:00:00","seneca",66.8
"265","2019-11-14 08:00:00","seneca",64.9
"266","2019-11-14 09:00:00","seneca",63
"267","2019-11-14 10:00:00","seneca",63
"268","2019-11-14 11:00:00","seneca",64.9
"269","2019-11-14 12:00:00","seneca",68.8
"270","2019-11-14 13:00:00","seneca",78.9
"271","2019-11-14 14:00:00","seneca",78.9
"272","2019-11-14 15:00:00","seneca",NA
"273","2019-11-09 00:00:00","goose",60
"274","2019-11-09 01:00:00","goose",58.2
"275","2019-11-09 02:00:00","goose",56.5
"276","2019-11-09 03:00:00","goose",56.5
"277","2019-11-09 04:00:00","goose",56.5
"278","2019-11-09 05:00:00","goose",56.5
"279","2019-11-09 06:00:00","goose",56.5
"280","2019-11-09 07:00:00","goose",56.5
"281","2019-11-09 08:00:00","goose",56.5
"282","2019-11-09 09:00:00","goose",56.5
"283","2019-11-09 10:00:00","goose",56.5
"284","2019-11-09 11:00:00","goose",56.5
"285","2019-11-09 12:00:00","goose",56.5
"286","2019-11-09 13:00:00","goose",56.5
"287","2019-11-09 14:00:00","goose",56.5
"288","2019-11-09 15:00:00","goose",56.5
"289","2019-11-09 16:00:00","goose",56.5
"290","2019-11-09 17:00:00","goose",56.5
"291","2019-11-09 18:00:00","goose",56.5
"292","2019-11-09 19:00:00","goose",56.5
"293","2019-11-09 20:00:00","goose",56.5
