surveyid,fieldactivityid,source,sampletype,station,sampledate,layer,samplenumber,gmethod,tsn,latinname,size,method,parameter,reportingvalue,reportingunit,nodccode,speccode,serialnumber
443050,0,odu/pel,c,cb7.3e,2013-03-20t00:00:00,ap,fs1,07,0,epifluorescent_picoplankton,not_applicable,pp101,count,2520250,l,auto_pico,1148,20131015cb7.3e
443050,0,odu/pel,c,cb7.3e,2013-03-20t00:00:00,bp,fs1,07,0,epifluorescent_picoplankton,not_applicable,pp101,count,2016600,l,auto_pico,1148,20131015cb7.3e
443052,0,odu/pel,c,cb7.4,2013-03-20t00:00:00,ap,fs1,07,0,epifluorescent_picoplankton,not_applicable,pp101,count,3192950,l,auto_pico,1148,20131015cb7.4
443052,0,odu/pel,c,cb7.4,2013-03-20t00:00:00,bp,fs1,07,0,epifluorescent_picoplankton,not_applicable,pp101,count,1344400,l,auto_pico,1148,20131015cb7.4
443054,0,odu/pel,c,le5.5-w,2013-03-20t00:00:00,ap,fs1,07,0,epifluorescent_picoplankton,not_applicable,pp101,count,3361000,l,auto_pico,1148,20131015le5.5-w
443054,0,odu/pel,c,le5.5-w,2013-03-20t00:00:00,bp,fs1,07,0,epifluorescent_picoplankton,not_applicable,pp101,count,1512450,l,auto_pico,1148,20131015le5.5-w
443046,0,odu/pel,c,ret5.2,2013-03-20t00:00:00,ap,fs1,07,0,epifluorescent_picoplankton,not_applicable,pp101,count,5545650,l,auto_pico,1148,20131015ret5.2
443044,0,odu/pel,c,we4.2,2013-03-20t00:00:00,ap,fs1,07,0,epifluorescent_picoplankton,not_applicable,pp101,count,6049800,l,auto_pico,1148,20131015we4.2
443044,0,odu/pel,c,we4.2,2013-03-20t00:00:00,bp,fs1,07,0,epifluorescent_picoplankton,not_applicable,pp101,count,2016600,l,auto_pico,1148,20131015we4.2
443058,0,odu/pel,c,ret3.1,2013-03-27t00:00:00,ap,fs1,07,0,epifluorescent_picoplankton,not_applicable,pp101,count,5881750,l,auto_pico,1148,20131015ret3.1
443056,0,odu/pel,c,tf3.3,2013-03-27t00:00:00,ap,fs1,07,0,epifluorescent_picoplankton,not_applicable,pp101,count,13444000,l,auto_pico,1148,20131015tf3.3
443060,0,odu/pel,c,ret5.2,2013-04-02t00:00:00,ap,fs1,07,0,epifluorescent_picoplankton,not_applicable,pp101,count,8402500,l,auto_pico,1148,20131015ret5.2
443062,0,odu/pel,c,tf5.5,2013-04-02t00:00:00,ap,fs1,07,0,epifluorescent_picoplankton,not_applicable,pp101,count,10419100,l,auto_pico,1148,20131015tf5.5
443066,0,odu/pel,c,ret3.1,2013-04-09t00:00:00,ap,fs1,07,0,epifluorescent_picoplankton,not_applicable,pp101,count,6385900,l,auto_pico,1148,20131015ret3.1
443064,0,odu/pel,c,tf3.3,2013-04-09t00:00:00,ap,fs1,07,0,epifluorescent_picoplankton,not_applicable,pp101,count,4705400,l,auto_pico,1148,20131015tf3.3
443068,0,odu/pel,c,sbe5,2013-04-10t00:00:00,ap,fs1,07,0,epifluorescent_picoplankton,not_applicable,pp101,count,4369300,l,auto_pico,1148,20131015sbe5
443072,0,odu/pel,c,cb7.3e,2013-04-15t00:00:00,ap,fs1,07,0,epifluorescent_picoplankton,not_applicable,pp101,count,9074700,l,auto_pico,1148,20131015cb7.3e
443072,0,odu/pel,c,cb7.3e,2013-04-15t00:00:00,bp,fs1,07,0,epifluorescent_picoplankton,not_applicable,pp101,count,8066400,l,auto_pico,1148,20131015cb7.3e
443070,0,odu/pel,c,cb7.4,2013-04-15t00:00:00,ap,fs1,07,0,epifluorescent_picoplankton,not_applicable,pp101,count,6385900,l,auto_pico,1148,20131015cb7.4
443070,0,odu/pel,c,cb7.4,2013-04-15t00:00:00,bp,fs1,07,0,epifluorescent_picoplankton,not_applicable,pp101,count,7730300,l,auto_pico,1148,20131015cb7.4
443076,0,odu/pel,c,cb6.1,2013-04-16t00:00:00,ap,fs1,07,0,epifluorescent_picoplankton,not_applicable,pp101,count,11427400,l,auto_pico,1148,20131015cb6.1
443076,0,odu/pel,c,cb6.1,2013-04-16t00:00:00,bp,fs1,07,0,epifluorescent_picoplankton,not_applicable,pp101,count,13107900,l,auto_pico,1148,20131015cb6.1
443082,0,odu/pel,c,cb6.4,2013-04-16t00:00:00,ap,fs1,07,0,epifluorescent_picoplankton,not_applicable,pp101,count,6722000,l,auto_pico,1148,20131015cb6.4
443082,0,odu/pel,c,cb6.4,2013-04-16t00:00:00,bp,fs1,07,0,epifluorescent_picoplankton,not_applicable,pp101,count,11427400,l,auto_pico,1148,20131015cb6.4
443078,0,odu/pel,c,le3.6,2013-04-16t00:00:00,ap,fs1,07,0,epifluorescent_picoplankton,not_applicable,pp101,count,9410800,l,auto_pico,1148,20131015le3.6
443078,0,odu/pel,c,le3.6,2013-04-16t00:00:00,bp,fs1,07,0,epifluorescent_picoplankton,not_applicable,pp101,count,10419100,l,auto_pico,1148,20131015le3.6
443074,0,odu/pel,c,ret4.3,2013-04-16t00:00:00,ap,fs1,07,0,epifluorescent_picoplankton,not_applicable,pp101,count,11763500,l,auto_pico,1148,20131015ret4.3
443080,0,odu/pel,c,tf4.2,2013-04-16t00:00:00,ap,fs1,07,0,epifluorescent_picoplankton,not_applicable,pp101,count,15460600,l,auto_pico,1148,20131015tf4.2
443086,0,odu/pel,c,le5.5-w,2013-04-17t00:00:00,ap,fs1,07,0,epifluorescent_picoplankton,not_applicable,pp101,count,10083000,l,auto_pico,1148,20131015le5.5-w
443086,0,odu/pel,c,le5.5-w,2013-04-17t00:00:00,bp,fs1,07,0,epifluorescent_picoplankton,not_applicable,pp101,count,9746900,l,auto_pico,1148,20131015le5.5-w
443084,0,odu/pel,c,we4.2,2013-04-17t00:00:00,ap,fs1,07,0,epifluorescent_picoplankton,not_applicable,pp101,count,8066400,l,auto_pico,1148,20131015we4.2
443084,0,odu/pel,c,we4.2,2013-04-17t00:00:00,bp,fs1,07,0,epifluorescent_picoplankton,not_applicable,pp101,count,8402500,l,auto_pico,1148,20131015we4.2
443088,0,odu/pel,c,ret5.2,2013-05-09t00:00:00,ap,fs1,07,0,epifluorescent_picoplankton,not_applicable,pp101,count,7252175,l,auto_pico,1148,20131015ret5.2
443090,0,odu/pel,c,tf5.5,2013-05-09t00:00:00,ap,fs1,07,0,epifluorescent_picoplankton,not_applicable,pp101,count,10503150,l,auto_pico,1148,20131015tf5.5
